,negative,neutral,positive,total
inher,0.0,0.0,4.0,4.0
inherit,0.0,0.0,1.0,1.0
initi,21.0,4.0,25.0,50.0
inject,0.0,8.0,0.0,8.0
inlay,0.0,0.0,2.0,2.0
inlin,0.0,0.0,1.0,1.0
innat,0.0,0.0,1.0,1.0
inner,0.0,0.0,4.0,4.0
innov,0.0,0.0,2.0,2.0
inopportun,0.0,0.0,2.0,2.0
inordin,0.0,0.0,1.0,1.0
input,8.0,0.0,10.0,18.0
insan,0.0,0.0,2.0,2.0
insert,26.0,24.0,13.0,63.0
insid,0.0,0.0,8.0,8.0
insist,0.0,8.0,1.0,9.0
inspect,0.0,0.0,4.0,4.0
inspir,0.0,0.0,6.0,6.0
instal,33.0,32.0,161.0,226.0
installationregard,0.0,0.0,1.0,1.0
installimprov,0.0,0.0,1.0,1.0
instant,0.0,0.0,8.0,8.0
instead,66.0,32.0,92.0,190.0
instruct,0.0,4.0,0.0,4.0
instrument,0.0,4.0,13.0,17.0
instrumentalist,0.0,4.0,0.0,4.0
insul,0.0,0.0,1.0,1.0
insult,0.0,4.0,1.0,5.0
insurmount,0.0,4.0,0.0,4.0
integr,8.0,0.0,3.0,11.0
intellig,8.0,4.0,0.0,12.0
intend,8.0,12.0,31.0,51.0
intens,0.0,0.0,2.0,2.0
intent,0.0,0.0,2.0,2.0
interact,0.0,0.0,2.0,2.0
interchang,0.0,0.0,4.0,4.0
interconnect,0.0,0.0,2.0,2.0
interest,0.0,16.0,17.0,33.0
interf,0.0,0.0,1.0,1.0
interfac,0.0,0.0,3.0,3.0
interfer,0.0,8.0,6.0,14.0
interior,0.0,0.0,4.0,4.0
interlock,0.0,0.0,1.0,1.0
intermedi,0.0,0.0,4.0,4.0
intermit,0.0,0.0,1.0,1.0
intermitt,0.0,8.0,5.0,13.0
intern,0.0,0.0,11.0,11.0
internet,0.0,4.0,0.0,4.0
interpret,0.0,0.0,1.0,1.0
intim,0.0,0.0,2.0,2.0
intimid,0.0,0.0,2.0,2.0
inton,0.0,4.0,2.0,6.0
intrigu,0.0,4.0,1.0,5.0
intrins,0.0,0.0,1.0,1.0
intro,0.0,4.0,0.0,4.0
introduc,0.0,0.0,12.0,12.0
intrus,0.0,0.0,1.0,1.0
intuit,0.0,4.0,1.0,5.0
invalu,0.0,0.0,2.0,2.0
invari,0.0,0.0,1.0,1.0
invas,0.0,4.0,1.0,5.0
invent,0.0,0.0,1.0,1.0
invest,0.0,4.0,14.0,18.0
investig,0.0,4.0,1.0,5.0
invis,0.0,0.0,3.0,3.0
invit,0.0,0.0,1.0,1.0
invok,0.0,0.0,1.0,1.0
involv,0.0,4.0,6.0,10.0
ipa,0.0,0.0,1.0,1.0
ipad,0.0,0.0,1.0,1.0
ipod,0.0,0.0,1.0,1.0
irish,0.0,0.0,2.0,2.0
irrate,0.0,0.0,1.0,1.0
irrelev,0.0,0.0,1.0,1.0
irrespons,0.0,0.0,1.0,1.0
irrit,0.0,0.0,1.0,1.0
is,2343.0,2792.0,5819.0,10954.0
ish,0.0,0.0,12.0,12.0
isnt,0.0,0.0,4.0,4.0
isol,4.0,4.0,9.0,17.0
itali,0.0,0.0,1.0,1.0
itdoesnt,0.0,0.0,1.0,1.0
itthes,0.0,0.0,1.0,1.0
iv,0.0,0.0,1.0,1.0
ive,0.0,4.0,22.0,26.0
ivori,0.0,0.0,1.0,1.0
iwa,0.0,0.0,1.0,1.0
jack,0.0,4.0,3.0,7.0
jackson,0.0,0.0,1.0,1.0
jag,0.0,0.0,1.0,1.0
jam,4.0,4.0,11.0,19.0
jamb,0.0,0.0,1.0,1.0
jang,0.0,4.0,0.0,4.0
japanes,4.0,0.0,0.0,4.0
jar,0.0,0.0,1.0,1.0
jasmin,0.0,0.0,1.0,1.0
jay,0.0,0.0,2.0,2.0
jazz,0.0,0.0,2.0,2.0
jazzi,0.0,0.0,1.0,1.0
jc,0.0,0.0,1.0,1.0
jelli,8.0,0.0,1.0,9.0
jensen,0.0,0.0,1.0,1.0
jerk,0.0,0.0,1.0,1.0
jerri,4.0,0.0,0.0,4.0
jet,4.0,0.0,1.0,5.0
jf,0.0,4.0,0.0,4.0
jiggl,4.0,4.0,0.0,8.0
jim,8.0,0.0,3.0,11.0
jimi,0.0,0.0,1.0,1.0
jimmi,0.0,0.0,1.0,1.0
john,0.0,0.0,3.0,3.0
join,0.0,0.0,1.0,1.0
joint,0.0,4.0,3.0,7.0
joke,0.0,12.0,1.0,13.0
jostl,0.0,0.0,1.0,1.0
joyo,8.0,0.0,2.0,10.0
jp,0.0,0.0,1.0,1.0
jr,0.0,0.0,5.0,5.0
judg,0.0,0.0,5.0,5.0
judgment,0.0,0.0,1.0,1.0
judici,0.0,0.0,1.0,1.0
jumbl,0.0,0.0,1.0,1.0
jumbo,21.0,4.0,5.0,30.0
jump,16.0,0.0,8.0,24.0
jumpi,0.0,0.0,1.0,1.0
june,0.0,0.0,1.0,1.0
junior,0.0,0.0,2.0,2.0
jusi,0.0,0.0,1.0,1.0
just,674.0,540.0,1195.0,2409.0
justadd,0.0,0.0,1.0,1.0
justic,0.0,0.0,3.0,3.0
justifi,0.0,8.0,8.0,16.0
karaok,0.0,0.0,3.0,3.0
kardashian,4.0,0.0,0.0,4.0
kazoo,0.0,0.0,1.0,1.0
kbps,0.0,0.0,1.0,1.0
kc,0.0,0.0,1.0,1.0
keeli,0.0,4.0,0.0,4.0
keen,0.0,0.0,1.0,1.0
keep,168.0,140.0,353.0,661.0
keeper,0.0,8.0,4.0,12.0
kendal,0.0,0.0,1.0,1.0
kept,12.0,8.0,20.0,40.0
ketrd,0.0,0.0,1.0,1.0
kettner,0.0,4.0,0.0,4.0
key,8.0,4.0,12.0,24.0
keyboard,0.0,0.0,7.0,7.0
keyboardist,0.0,0.0,1.0,1.0
keyser,0.0,0.0,1.0,1.0
khjghjjh,0.0,0.0,1.0,1.0
khz,4.0,0.0,0.0,4.0
kick,16.0,4.0,16.0,36.0
kickin,0.0,0.0,3.0,3.0
kid,8.0,4.0,8.0,20.0
kidalso,0.0,0.0,1.0,1.0
kiddi,0.0,0.0,1.0,1.0
kill,26.0,4.0,10.0,40.0
killer,0.0,4.0,1.0,5.0
kind,0.0,4.0,0.0,4.0
kinda,12.0,8.0,11.0,31.0
king,0.0,0.0,4.0,4.0
kiss,0.0,0.0,1.0,1.0
kit,0.0,0.0,3.0,3.0
klutz,0.0,0.0,1.0,1.0
kmc,0.0,0.0,4.0,4.0
knee,0.0,0.0,1.0,1.0
knew,16.0,8.0,15.0,39.0
knob,0.0,16.0,21.0,37.0
knock,0.0,8.0,30.0,38.0
knockoff,0.0,0.0,1.0,1.0
know,69.0,148.0,251.0,468.0
knowledg,0.0,0.0,1.0,1.0
known,0.0,4.0,13.0,17.0
knownto,0.0,0.0,1.0,1.0
kodak,0.0,0.0,1.0,1.0
kool,0.0,0.0,1.0,1.0
korg,0.0,0.0,3.0,3.0
korn,0.0,0.0,1.0,1.0
kurzweil,0.0,0.0,1.0,1.0
kyser,0.0,4.0,10.0,14.0
lab,0.0,0.0,1.0,1.0
label,0.0,0.0,4.0,4.0
labella,0.0,0.0,1.0,1.0
lack,12.0,24.0,12.0,48.0
lacquer,0.0,0.0,1.0,1.0
ladi,8.0,0.0,0.0,8.0
lager,0.0,0.0,1.0,1.0
laguna,0.0,0.0,5.0,5.0
laid,0.0,0.0,1.0,1.0
lamin,0.0,0.0,2.0,2.0
land,0.0,0.0,1.0,1.0
lap,0.0,0.0,2.0,2.0
lapel,0.0,0.0,1.0,1.0
laptop,0.0,0.0,11.0,11.0
larg,16.0,92.0,80.0,188.0
larger,4.0,12.0,51.0,67.0
largest,0.0,0.0,2.0,2.0
las,0.0,0.0,1.0,1.0
laser,0.0,4.0,0.0,4.0
laskin,0.0,4.0,0.0,4.0
last,187.0,132.0,391.0,710.0
lat,0.0,0.0,1.0,1.0
latch,0.0,0.0,7.0,7.0
late,8.0,8.0,20.0,36.0
latenc,0.0,0.0,1.0,1.0
later,38.0,16.0,35.0,89.0
latest,0.0,0.0,7.0,7.0
latter,0.0,0.0,2.0,2.0
laugh,0.0,4.0,1.0,5.0
lavali,0.0,0.0,1.0,1.0
lax,4.0,0.0,0.0,4.0
lay,21.0,0.0,14.0,35.0
layer,0.0,4.0,4.0,8.0
lazi,0.0,4.0,5.0,9.0
lb,0.0,0.0,1.0,1.0
lbs,0.0,0.0,5.0,5.0
lc,0.0,0.0,1.0,1.0
lcd,0.0,4.0,0.0,4.0
ldc,0.0,4.0,0.0,4.0
lead,8.0,40.0,23.0,71.0
leak,0.0,8.0,5.0,13.0
lean,16.0,12.0,12.0,40.0
leap,0.0,4.0,1.0,5.0
leari,0.0,0.0,1.0,1.0
learn,16.0,40.0,67.0,123.0
least,12.0,44.0,100.0,156.0
leather,0.0,8.0,16.0,24.0
leatherman,0.0,0.0,1.0,1.0
leav,90.0,40.0,91.0,221.0
led,0.0,20.0,24.0,44.0
lee,0.0,0.0,4.0,4.0
leeri,0.0,0.0,2.0,2.0
left,16.0,32.0,31.0,79.0
lefti,0.0,0.0,1.0,1.0
leftov,0.0,4.0,0.0,4.0
leg,4.0,0.0,7.0,11.0
legal,0.0,0.0,1.0,1.0
legendari,0.0,0.0,3.0,3.0
legit,0.0,0.0,2.0,2.0
lemon,0.0,0.0,10.0,10.0
lend,0.0,0.0,2.0,2.0
length,0.0,0.0,3.0,3.0
lengthi,4.0,0.0,1.0,5.0
leo,0.0,0.0,1.0,1.0
les,21.0,8.0,42.0,71.0
lesli,0.0,0.0,3.0,3.0
less,79.0,84.0,187.0,350.0
lesser,8.0,4.0,3.0,15.0
lest,4.0,0.0,1.0,5.0
let,71.0,36.0,85.0,192.0
letter,0.0,0.0,1.0,1.0
level,0.0,4.0,4.0,8.0
lever,0.0,0.0,1.0,1.0
leverag,4.0,0.0,0.0,4.0
levi,0.0,0.0,3.0,3.0
lexan,0.0,0.0,1.0,1.0
lexicon,0.0,0.0,1.0,1.0
liabl,0.0,0.0,1.0,1.0
liber,0.0,0.0,1.0,1.0
lick,0.0,0.0,1.0,1.0
lid,0.0,0.0,3.0,3.0
lie,4.0,12.0,5.0,21.0
lifelong,0.0,0.0,1.0,1.0
lifespan,0.0,0.0,1.0,1.0
lifetim,0.0,0.0,7.0,7.0
lift,18.0,4.0,8.0,30.0
light,56.0,60.0,174.0,290.0
lighten,0.0,0.0,2.0,2.0
lighter,8.0,8.0,36.0,52.0
lightest,0.0,0.0,1.0,1.0
lightn,0.0,0.0,2.0,2.0
lightweight,0.0,8.0,22.0,30.0
liitl,0.0,0.0,1.0,1.0
like,69.0,112.0,215.0,396.0
likeabl,4.0,0.0,0.0,4.0
likewis,0.0,4.0,0.0,4.0
likey,0.0,0.0,1.0,1.0
lil,0.0,0.0,2.0,2.0
lilbrass,0.0,0.0,1.0,1.0
limborg,42.0,0.0,0.0,42.0
limit,30.0,16.0,22.0,68.0
limp,0.0,0.0,2.0,2.0
line,0.0,4.0,7.0,11.0
linger,0.0,0.0,1.0,1.0
link,0.0,0.0,3.0,3.0
linse,0.0,0.0,1.0,1.0
lint,0.0,0.0,1.0,1.0
linti,0.0,0.0,1.0,1.0
linux,0.0,0.0,1.0,1.0
liquidth,0.0,0.0,1.0,1.0
liquifi,0.0,0.0,1.0,1.0
list,4.0,0.0,11.0,15.0
listen,4.0,0.0,30.0,34.0
lit,0.0,4.0,2.0,6.0
lite,42.0,0.0,4.0,46.0
liter,8.0,12.0,19.0,39.0
litl,0.0,0.0,1.0,1.0
litll,0.0,4.0,0.0,4.0
litt,0.0,0.0,2.0,2.0
litter,0.0,0.0,2.0,2.0
littl,132.0,300.0,683.0,1115.0
live,0.0,24.0,139.0,163.0
liveabl,0.0,0.0,1.0,1.0
liven,0.0,0.0,3.0,3.0
lj,0.0,0.0,1.0,1.0
ljaymus,0.0,0.0,1.0,1.0
ll,8.0,0.0,0.0,8.0
llnever,0.0,0.0,1.0,1.0
lo,0.0,0.0,4.0,4.0
load,0.0,8.0,20.0,28.0
local,12.0,4.0,54.0,70.0
locat,0.0,0.0,7.0,7.0
locationgood,0.0,0.0,1.0,1.0
lock,52.0,28.0,96.0,176.0
lockabl,0.0,0.0,1.0,1.0
locktit,0.0,0.0,1.0,1.0
logic,0.0,8.0,4.0,12.0
logo,0.0,4.0,1.0,5.0
lok,8.0,0.0,2.0,10.0
loke,0.0,0.0,1.0,1.0
lol,0.0,0.0,3.0,3.0
lone,0.0,0.0,1.0,1.0
lonesom,0.0,0.0,1.0,1.0
long,89.0,108.0,338.0,535.0
longer,90.0,52.0,138.0,280.0
longest,0.0,0.0,7.0,7.0
loo,4.0,0.0,0.0,4.0
look,295.0,224.0,613.0,1132.0
lookin,4.0,0.0,0.0,4.0
loooong,0.0,0.0,1.0,1.0
loooov,0.0,0.0,1.0,1.0
loop,0.0,8.0,18.0,26.0
loos,38.0,24.0,53.0,115.0
loosen,0.0,0.0,23.0,23.0
looser,0.0,0.0,3.0,3.0
lose,115.0,28.0,46.0,189.0
loss,8.0,0.0,0.0,8.0
lost,37.0,4.0,35.0,76.0
lot,8.0,8.0,49.0,65.0
lotclean,0.0,0.0,1.0,1.0
lotus,0.0,0.0,1.0,1.0
loud,8.0,36.0,65.0,109.0
louder,0.0,4.0,18.0,22.0
loudest,0.0,0.0,1.0,1.0
lousi,0.0,0.0,1.0,1.0
love,48.0,72.0,295.0,415.0
low,102.0,64.0,203.0,369.0
lower,58.0,40.0,70.0,168.0
lowest,0.0,8.0,10.0,18.0
loyal,0.0,4.0,3.0,7.0
lp,0.0,4.0,17.0,21.0
ltd,0.0,0.0,3.0,3.0
lube,0.0,0.0,7.0,7.0
lubric,8.0,0.0,7.0,15.0
luck,0.0,0.0,1.0,1.0
lucki,4.0,4.0,3.0,11.0
luckili,0.0,12.0,6.0,18.0
lug,0.0,0.0,3.0,3.0
lukewarm,0.0,0.0,1.0,1.0
lulz,0.0,0.0,1.0,1.0
lumen,0.0,0.0,1.0,1.0
luna,0.0,0.0,1.0,1.0
lush,0.0,0.0,2.0,2.0
lust,0.0,0.0,1.0,1.0
lustrous,0.0,0.0,1.0,1.0
luthier,0.0,0.0,3.0,3.0
ma,0.0,0.0,3.0,3.0
mac,8.0,0.0,2.0,10.0
machin,0.0,0.0,1.0,1.0
machineus,0.0,0.0,1.0,1.0
made,131.0,168.0,354.0,653.0
magic,0.0,4.0,4.0,8.0
magnet,0.0,0.0,3.0,3.0
magnifi,4.0,0.0,2.0,6.0
mah,0.0,0.0,1.0,1.0
mahogani,0.0,4.0,0.0,4.0
mail,8.0,0.0,0.0,8.0
main,36.0,36.0,65.0,137.0
maintain,0.0,4.0,23.0,27.0
mainten,0.0,0.0,1.0,1.0
major,8.0,0.0,22.0,30.0
make,194.0,348.0,642.0,1184.0
male,0.0,0.0,8.0,8.0
malfunct,0.0,0.0,3.0,3.0
mallow,0.0,0.0,1.0,1.0
manag,4.0,4.0,11.0,19.0
mandatori,0.0,0.0,1.0,1.0
mando,0.0,0.0,2.0,2.0
mandolin,0.0,4.0,2.0,6.0
maneuv,0.0,0.0,2.0,2.0
mangan,0.0,0.0,2.0,2.0
manhandl,0.0,4.0,0.0,4.0
manhattan,0.0,0.0,1.0,1.0
mani,96.0,72.0,241.0,409.0
manipul,0.0,0.0,5.0,5.0
manual,29.0,16.0,17.0,62.0
manufactu,0.0,0.0,1.0,1.0
manufactur,4.0,8.0,9.0,21.0
map,0.0,0.0,1.0,1.0
mapl,0.0,0.0,3.0,3.0
mar,0.0,0.0,10.0,10.0
mare,0.0,0.0,1.0,1.0
margin,0.0,0.0,2.0,2.0
mariachi,0.0,0.0,1.0,1.0
mark,0.0,4.0,8.0,12.0
market,0.0,0.0,3.0,3.0
marr,21.0,0.0,0.0,21.0
marri,0.0,0.0,2.0,2.0
marshal,4.0,4.0,7.0,15.0
martin,0.0,8.0,15.0,23.0
marvel,0.0,0.0,4.0,4.0
mash,0.0,0.0,2.0,2.0
mask,0.0,0.0,2.0,2.0
massiv,0.0,0.0,2.0,2.0
master,0.0,0.0,4.0,4.0
match,0.0,16.0,35.0,51.0
matchstick,0.0,0.0,1.0,1.0
mate,0.0,8.0,3.0,11.0
materi,0.0,4.0,5.0,9.0
matic,0.0,4.0,1.0,5.0
matt,0.0,0.0,3.0,3.0
matter,0.0,8.0,8.0,16.0
max,0.0,16.0,6.0,22.0
maxim,0.0,0.0,2.0,2.0
maximum,0.0,8.0,2.0,10.0
mayb,54.0,80.0,90.0,224.0
mayer,0.0,0.0,1.0,1.0
mccarti,0.0,0.0,1.0,1.0
mccoy,0.0,0.0,1.0,1.0
mcyntir,0.0,0.0,1.0,1.0
mean,49.0,48.0,73.0,170.0
meant,16.0,0.0,14.0,30.0
meanwhil,18.0,0.0,2.0,20.0
measur,8.0,0.0,9.0,17.0
meat,0.0,0.0,1.0,1.0
meati,0.0,0.0,1.0,1.0
mecan,0.0,4.0,0.0,4.0
mechan,4.0,4.0,3.0,11.0
mechnic,0.0,0.0,1.0,1.0
med,8.0,0.0,1.0,9.0
medal,0.0,0.0,1.0,1.0
mediocr,0.0,8.0,1.0,9.0
medium,0.0,12.0,12.0,24.0
meet,4.0,4.0,7.0,15.0
mega,0.0,0.0,1.0,1.0
megadeth,0.0,0.0,1.0,1.0
mello,0.0,0.0,1.0,1.0
mellow,12.0,8.0,23.0,43.0
melt,0.0,0.0,1.0,1.0
memori,0.0,0.0,1.0,1.0
memphi,0.0,0.0,1.0,1.0
mention,24.0,8.0,50.0,82.0
mere,0.0,0.0,4.0,4.0
merg,0.0,0.0,1.0,1.0
mesa,0.0,4.0,2.0,6.0
mesh,4.0,0.0,0.0,4.0
mess,8.0,16.0,23.0,47.0
messi,0.0,0.0,2.0,2.0
messin,0.0,0.0,2.0,2.0
met,0.0,4.0,5.0,9.0
metal,73.0,36.0,52.0,161.0
metalhead,0.0,0.0,1.0,1.0
metallica,0.0,0.0,1.0,1.0
metallicperfect,0.0,0.0,1.0,1.0
meter,0.0,0.0,1.0,1.0
metric,0.0,0.0,1.0,1.0
metronom,0.0,0.0,3.0,3.0
mexican,84.0,0.0,3.0,87.0
mexico,0.0,0.0,1.0,1.0
mg,0.0,0.0,1.0,1.0
mh,0.0,4.0,0.0,4.0
mic,100.0,72.0,334.0,506.0
mice,0.0,0.0,2.0,2.0
micro,0.0,4.0,4.0,8.0
microfib,18.0,0.0,1.0,19.0
micron,0.0,0.0,1.0,1.0
microphon,0.0,4.0,7.0,11.0
microphonecolor,0.0,0.0,1.0,1.0
microwav,0.0,0.0,1.0,1.0
mid,21.0,12.0,14.0,47.0
middl,0.0,0.0,9.0,9.0
midi,0.0,0.0,12.0,12.0
midrang,0.0,4.0,0.0,4.0
midwest,0.0,0.0,1.0,1.0
mike,0.0,0.0,4.0,4.0
mild,0.0,0.0,3.0,3.0
militari,0.0,4.0,1.0,5.0
mim,0.0,0.0,1.0,1.0
mimim,0.0,0.0,1.0,1.0
min,0.0,0.0,1.0,1.0
mind,4.0,12.0,17.0,33.0
mine,8.0,12.0,15.0,35.0
miner,0.0,4.0,2.0,6.0
mini,18.0,8.0,6.0,32.0
minim,4.0,12.0,17.0,33.0
minimalist,0.0,0.0,1.0,1.0
minimum,0.0,0.0,5.0,5.0
miniscul,0.0,0.0,1.0,1.0
minor,0.0,8.0,26.0,34.0
minus,0.0,0.0,2.0,2.0
minut,0.0,0.0,1.0,1.0
miracl,0.0,4.0,0.0,4.0
mirrorglaz,0.0,0.0,1.0,1.0
mis,0.0,0.0,1.0,1.0
misc,0.0,0.0,1.0,1.0
miscellan,0.0,0.0,1.0,1.0
miser,8.0,0.0,2.0,10.0
miserlou,0.0,0.0,1.0,1.0
misl,0.0,0.0,1.0,1.0
mislead,0.0,4.0,2.0,6.0
mismark,8.0,0.0,0.0,8.0
misplac,0.0,0.0,2.0,2.0
miss,39.0,20.0,25.0,84.0
mistak,0.0,0.0,4.0,4.0
mistaken,0.0,0.0,2.0,2.0
mistreat,0.0,0.0,1.0,1.0
mix,0.0,4.0,34.0,38.0
mixer,4.0,4.0,12.0,20.0
mm,8.0,4.0,13.0,25.0
mo,4.0,0.0,1.0,5.0
mobil,0.0,4.0,10.0,14.0
mod,0.0,0.0,15.0,15.0
mode,4.0,0.0,0.0,4.0
model,0.0,4.0,10.0,14.0
moder,0.0,0.0,10.0,10.0
modern,0.0,0.0,13.0,13.0
modest,0.0,4.0,5.0,9.0
modifi,4.0,24.0,11.0,39.0
modual,0.0,0.0,1.0,1.0
modul,0.0,0.0,3.0,3.0
moduleplay,0.0,0.0,1.0,1.0
mogami,0.0,0.0,1.0,1.0
moist,0.0,4.0,2.0,6.0
moistur,0.0,0.0,1.0,1.0
mold,0.0,4.0,7.0,11.0
momentari,0.0,0.0,7.0,7.0
momentarili,4.0,0.0,0.0,4.0
mon,0.0,0.0,1.0,1.0
monitor,0.0,0.0,9.0,9.0
monkey,0.0,0.0,1.0,1.0
mono,0.0,4.0,5.0,9.0
monster,0.0,0.0,4.0,4.0
mont,0.0,4.0,0.0,4.0
month,0.0,0.0,2.0,2.0
moor,0.0,4.0,0.0,4.0
moot,0.0,4.0,1.0,5.0
more,521.0,540.0,1026.0,2087.0
morello,0.0,0.0,2.0,2.0
morley,0.0,0.0,1.0,1.0
mortal,0.0,0.0,1.0,1.0
mortifi,0.0,0.0,1.0,1.0
most,48.0,172.0,337.0,557.0
motley,0.0,4.0,0.0,4.0
motown,0.0,0.0,1.0,1.0
mount,48.0,8.0,60.0,116.0
mouth,0.0,0.0,4.0,4.0
move,46.0,72.0,96.0,214.0
mp,0.0,0.0,2.0,2.0
mr,0.0,0.0,1.0,1.0
ms,0.0,0.0,1.0,1.0
mucch,0.0,0.0,1.0,1.0
much,283.0,336.0,664.0,1283.0
muck,0.0,0.0,1.0,1.0
mud,0.0,0.0,1.0,1.0
muddi,21.0,0.0,16.0,37.0
muddier,4.0,0.0,0.0,4.0
muddl,0.0,0.0,1.0,1.0
muff,0.0,4.0,0.0,4.0
muffl,21.0,0.0,9.0,30.0
multi,4.0,4.0,14.0,22.0
multifunct,0.0,0.0,1.0,1.0
multipl,8.0,12.0,28.0,48.0
multipurpos,0.0,0.0,1.0,1.0
muscl,0.0,0.0,1.0,1.0
mushi,0.0,4.0,3.0,7.0
musian,0.0,0.0,1.0,1.0
music,0.0,12.0,22.0,34.0
musican,0.0,0.0,2.0,2.0
musician,0.0,20.0,19.0,39.0
mute,12.0,4.0,16.0,32.0
mxl,0.0,0.0,6.0,6.0
mxr,8.0,4.0,2.0,14.0
myself,0.0,0.0,3.0,3.0
mystic,21.0,0.0,0.0,21.0
na,0.0,0.0,5.0,5.0
nadi,8.0,0.0,8.0,16.0
nail,0.0,4.0,4.0,8.0
nake,0.0,0.0,2.0,2.0
name,0.0,4.0,5.0,9.0
namm,0.0,0.0,1.0,1.0
nandi,0.0,0.0,1.0,1.0
nanoweb,0.0,8.0,26.0,34.0
nap,0.0,4.0,0.0,4.0
narrow,4.0,8.0,12.0,24.0
nasal,0.0,4.0,2.0,6.0
nasti,4.0,8.0,9.0,21.0
nastiest,0.0,0.0,1.0,1.0
nation,4.0,12.0,6.0,22.0
nato,0.0,4.0,0.0,4.0
natur,33.0,4.0,51.0,88.0
naught,0.0,0.0,1.0,1.0
nd,0.0,0.0,14.0,14.0
near,32.0,28.0,32.0,92.0
nearbi,0.0,4.0,3.0,7.0
nearer,0.0,0.0,1.0,1.0
nearest,0.0,0.0,1.0,1.0
neat,4.0,4.0,10.0,18.0
neatest,0.0,0.0,1.0,1.0
neatether,0.0,0.0,1.0,1.0
neccess,0.0,0.0,1.0,1.0
neccessarili,0.0,0.0,1.0,1.0
necessari,0.0,4.0,26.0,30.0
necessarili,0.0,4.0,9.0,13.0
neck,0.0,0.0,5.0,5.0
need,199.0,204.0,651.0,1054.0
needl,37.0,0.0,2.0,39.0
needless,0.0,0.0,4.0,4.0
negat,0.0,8.0,31.0,39.0
neglect,0.0,0.0,3.0,3.0
neglig,0.0,0.0,4.0,4.0
negoti,0.0,0.0,2.0,2.0
nehh,0.0,0.0,1.0,1.0
neighbour,0.0,0.0,1.0,1.0
neither,0.0,0.0,1.0,1.0
neo,0.0,4.0,0.0,4.0
neon,0.0,0.0,1.0,1.0
neotech,0.0,0.0,1.0,1.0
nervous,0.0,4.0,3.0,7.0
nest,0.0,0.0,1.0,1.0
net,0.0,4.0,4.0,8.0
network,0.0,0.0,1.0,1.0
neumann,0.0,0.0,1.0,1.0
neuter,0.0,0.0,1.0,1.0
neutrik,0.0,0.0,2.0,2.0
neve,0.0,0.0,1.0,1.0
never,61.0,68.0,260.0,389.0
neverhad,0.0,0.0,1.0,1.0
nevertheless,0.0,4.0,1.0,5.0
new,124.0,80.0,301.0,505.0
newbi,0.0,0.0,2.0,2.0
newborn,0.0,0.0,2.0,2.0
newer,12.0,4.0,10.0,26.0
newest,0.0,0.0,1.0,1.0
newmahalo,0.0,0.0,1.0,1.0
nex,0.0,0.0,1.0,1.0
next,12.0,32.0,74.0,118.0
nice,128.0,140.0,682.0,950.0
nicer,43.0,12.0,14.0,69.0
nicest,0.0,0.0,5.0,5.0
nick,0.0,4.0,6.0,10.0
nickel,0.0,4.0,6.0,10.0
nickweissmus,0.0,0.0,1.0,1.0
niec,0.0,0.0,1.0,1.0
nifti,0.0,4.0,2.0,6.0
night,0.0,0.0,1.0,1.0
nikon,18.0,0.0,0.0,18.0
nineti,0.0,0.0,1.0,1.0
nitpick,0.0,0.0,1.0,1.0
nitpicki,0.0,0.0,1.0,1.0
nitro,0.0,0.0,2.0,2.0
nitrocellulos,0.0,0.0,3.0,3.0
no,8.0,8.0,35.0,51.0
nois,12.0,8.0,27.0,47.0
noiseless,0.0,4.0,2.0,6.0
noiseno,0.0,0.0,1.0,1.0
noisey,0.0,0.0,3.0,3.0
noisi,36.0,28.0,18.0,82.0
non,12.0,12.0,38.0,62.0
none,4.0,4.0,0.0,8.0
noneif,0.0,0.0,1.0,1.0
nonetheless,0.0,0.0,1.0,1.0
nonpad,0.0,0.0,1.0,1.0
nonsens,0.0,4.0,0.0,4.0
noooooooo,8.0,0.0,0.0,8.0
nope,0.0,0.0,1.0,1.0
normal,29.0,48.0,59.0,136.0
normalci,0.0,0.0,1.0,1.0
north,0.0,4.0,2.0,6.0
northern,0.0,0.0,2.0,2.0
nose,25.0,0.0,8.0,33.0
nostalg,0.0,0.0,1.0,1.0
not,2452.0,2108.0,3676.0,8236.0
notabl,0.0,4.0,3.0,7.0
notch,0.0,4.0,5.0,9.0
note,12.0,24.0,32.0,68.0
notepad,8.0,0.0,0.0,8.0
notic,30.0,108.0,112.0,250.0
noticablec,4.0,0.0,0.0,4.0
noton,0.0,0.0,1.0,1.0
notori,0.0,4.0,2.0,6.0
notwithstand,0.0,0.0,1.0,1.0
nouveau,0.0,4.0,0.0,4.0
nov,0.0,0.0,1.0,1.0
novelti,0.0,0.0,1.0,1.0
novic,0.0,0.0,6.0,6.0
now,245.0,156.0,440.0,841.0
nowher,4.0,0.0,1.0,5.0
nozzl,0.0,0.0,1.0,1.0
npr,0.0,0.0,2.0,2.0
ns,21.0,0.0,1.0,22.0
nt,0.0,0.0,3.0,3.0
nuclear,0.0,4.0,1.0,5.0
nudg,0.0,0.0,1.0,1.0
nuff,0.0,0.0,1.0,1.0
nuisanc,0.0,4.0,0.0,4.0
number,0.0,4.0,0.0,4.0
numer,8.0,4.0,9.0,21.0
nut,0.0,12.0,10.0,22.0
nx,0.0,0.0,3.0,3.0
ny,0.0,0.0,3.0,3.0
nyc,4.0,4.0,0.0,8.0
nylon,25.0,0.0,22.0,47.0
nylong,0.0,0.0,1.0,1.0
oasi,0.0,0.0,1.0,1.0
