,negative,positive,total
spiner,0.0,1.0,1.0
spinetingl,1.0,0.0,1.0
spink,1.0,0.0,1.0
spinnabl,0.0,2.0,2.0
spinster,2.0,3.0,5.0
spinsterish,1.0,1.0,2.0
spiral,43.0,58.0,101.0
spirit,122.0,188.0,310.0
spiritit,0.0,1.0,1.0
spiritless,1.0,2.0,3.0
spiritu,104.0,163.0,267.0
spiritualist,2.0,1.0,3.0
spiro,0.0,2.0,2.0
spit,94.0,50.0,144.0
spite,27.0,11.0,38.0
spitfir,1.0,4.0,5.0
spiti,0.0,1.0,1.0
spiv,0.0,2.0,2.0
spiventa,0.0,1.0,1.0
splain,2.0,0.0,2.0
splash,27.0,21.0,48.0
splashdown,1.0,0.0,1.0
splashi,8.0,8.0,16.0
splat,3.0,5.0,8.0
splater,1.0,0.0,1.0
splatter,53.0,15.0,68.0
splatterfest,1.0,1.0,2.0
splatterish,1.0,0.0,1.0
splay,2.0,2.0,4.0
spleen,3.0,1.0,4.0
splend,0.0,1.0,1.0
splenda,0.0,1.0,1.0
splendid,32.0,176.0,208.0
splendifer,1.0,2.0,3.0
splendini,0.0,1.0,1.0
splendor,3.0,16.0,19.0
splendour,0.0,1.0,1.0
splice,59.0,18.0,77.0
spliff,0.0,1.0,1.0
splinter,4.0,2.0,6.0
split,120.0,125.0,245.0
splite,0.0,1.0,1.0
splitter,0.0,1.0,1.0
splurg,2.0,0.0,2.0
splutter,1.0,0.0,1.0
spo,0.0,2.0,2.0
spock,6.0,15.0,21.0
spoil,347.0,394.0,741.0
spoiler,116.0,69.0,185.0
spoilerish,2.0,1.0,3.0
spoilerphob,1.0,0.0,1.0
spoilerwarn,1.0,0.0,1.0
spoili,1.0,0.0,1.0
spoilment,0.0,1.0,1.0
spoilt,31.0,11.0,42.0
spoke,88.0,70.0,158.0
spoken,134.0,141.0,275.0
spoleto,1.0,0.0,1.0
spoli,0.0,1.0,1.0
spolier,2.0,1.0,3.0
spong,2.0,1.0,3.0
spongebob,6.0,1.0,7.0
spongeworthi,1.0,0.0,1.0
spongi,0.0,1.0,1.0
sponser,1.0,0.0,1.0
sponsor,24.0,25.0,49.0
sponsorship,0.0,2.0,2.0
spontan,39.0,67.0,106.0
spontani,1.0,0.0,1.0
spoof,147.0,97.0,244.0
spoofi,2.0,2.0,4.0
spoofish,1.0,0.0,1.0
spook,16.0,12.0,28.0
spookfest,1.0,1.0,2.0
spookhous,1.0,0.0,1.0
spooki,67.0,80.0,147.0
spookier,2.0,0.0,2.0
spookiest,2.0,1.0,3.0
spookili,1.0,5.0,6.0
spookish,0.0,1.0,1.0
spool,1.0,2.0,3.0
spoon,14.0,16.0,30.0
spoorloo,2.0,2.0,4.0
sporad,31.0,24.0,55.0
sporat,1.0,0.0,1.0
sporchi,0.0,1.0,1.0
spork,1.0,0.0,1.0
sport,63.0,44.0,107.0
sportfreund,0.0,1.0,1.0
sporti,1.0,2.0,3.0
sportin,0.0,7.0,7.0
sportscast,1.0,1.0,2.0
sportsman,0.0,2.0,2.0
sportsmanship,1.0,0.0,1.0
sportswear,1.0,0.0,1.0
sportswrit,1.0,0.0,1.0
spot,160.0,207.0,367.0
spotless,3.0,2.0,5.0
spotlight,6.0,10.0,16.0
spotti,11.0,6.0,17.0
spous,1.0,2.0,3.0
spousal,3.0,0.0,3.0
spout,90.0,30.0,120.0
spr,0.0,1.0,1.0
sprach,0.0,3.0,3.0
spracht,0.0,1.0,1.0
spradl,5.0,1.0,6.0
sprain,0.0,2.0,2.0
sprang,2.0,3.0,5.0
sprawl,17.0,21.0,38.0
spray,32.0,19.0,51.0
spraypaint,1.0,0.0,1.0
spread,94.0,97.0,191.0
spreadeagl,1.0,0.0,1.0
spreader,1.0,0.0,1.0
spree,24.0,12.0,36.0
spri,1.0,4.0,5.0
spridl,1.0,0.0,1.0
sprigg,1.0,0.0,1.0
spright,3.0,16.0,19.0
spring,22.0,33.0,55.0
springboard,2.0,2.0,4.0
springer,6.0,2.0,8.0
springfield,2.0,1.0,3.0
springi,0.0,1.0,1.0
springsteen,6.0,3.0,9.0
springtim,1.0,1.0,2.0
springwood,0.0,1.0,1.0
sprinkl,39.0,33.0,72.0
sprinkler,1.0,0.0,1.0
sprint,4.0,2.0,6.0
sprite,2.0,1.0,3.0
spritz,1.0,0.0,1.0
sprog,0.0,1.0,1.0
sprout,8.0,1.0,9.0
spruce,3.0,3.0,6.0
sprung,8.0,7.0,15.0
spu,1.0,0.0,1.0
spud,0.0,1.0,1.0
spun,13.0,9.0,22.0
spunk,0.0,1.0,1.0
spunki,5.0,13.0,18.0
spur,8.0,21.0,29.0
spurious,4.0,4.0,8.0
spurlock,1.0,0.0,1.0
spurn,10.0,13.0,23.0
spurrier,1.0,0.0,1.0
spurt,16.0,5.0,21.0
sputnik,0.0,4.0,4.0
sputter,10.0,5.0,15.0
spymat,0.0,1.0,1.0
spys,0.0,1.0,1.0
squ,1.0,0.0,1.0
squabbl,7.0,5.0,12.0
squad,19.0,23.0,42.0
squadron,0.0,2.0,2.0
squalid,4.0,9.0,13.0
squall,2.0,0.0,2.0
squalor,1.0,0.0,1.0
squander,45.0,7.0,52.0
squar,80.0,73.0,153.0
squaresoft,0.0,1.0,1.0
squash,21.0,6.0,27.0
squashi,2.0,0.0,2.0
squat,12.0,4.0,16.0
squatti,1.0,0.0,1.0
squaw,1.0,1.0,2.0
squawk,10.0,1.0,11.0
squeak,2.0,5.0,7.0
squeaki,14.0,12.0,26.0
squeakiest,1.0,0.0,1.0
squeal,12.0,8.0,20.0
squeamish,23.0,19.0,42.0
squeazi,1.0,0.0,1.0
squee,0.0,1.0,1.0
squeel,1.0,0.0,1.0
squeemish,0.0,1.0,1.0
squeez,65.0,27.0,92.0
squeezabl,0.0,1.0,1.0
squelch,1.0,2.0,3.0
squib,2.0,3.0,5.0
squid,3.0,0.0,3.0
squidbilli,0.0,1.0,1.0
squint,8.0,2.0,10.0
squir,1.0,1.0,2.0
squirm,45.0,17.0,62.0
squirmfest,1.0,0.0,1.0
squirmi,0.0,2.0,2.0
squirmish,1.0,0.0,1.0
squirrel,3.0,4.0,7.0
squirrelli,1.0,4.0,5.0
squirt,14.0,5.0,19.0
squish,13.0,7.0,20.0
squishi,3.0,1.0,4.0
sr,7.0,8.0,15.0
srbljanov,0.0,3.0,3.0
srd,1.0,0.0,1.0
sre,1.0,0.0,1.0
srebrenica,1.0,2.0,3.0
sri,2.0,12.0,14.0
srk,1.0,5.0,6.0
srtike,0.0,1.0,1.0
srw,0.0,1.0,1.0
ss,20.0,9.0,29.0
ssed,3.0,1.0,4.0
ssi,1.0,0.0,1.0
ssing,1.0,0.0,1.0
sso,0.0,1.0,1.0
ssri,0.0,1.0,1.0
sssss,1.0,0.0,1.0
sssssssssssooooooooooooo,1.0,0.0,1.0
sssssssttttttttttuuuuuuuuuuuuuuuuuupppppiiiddd,1.0,0.0,1.0
st,166.0,175.0,341.0
sta,5.0,4.0,9.0
stab,185.0,74.0,259.0
stabil,3.0,6.0,9.0
stabl,21.0,57.0,78.0
staccato,2.0,2.0,4.0
stacey,11.0,6.0,17.0
stach,1.0,0.0,1.0
staci,6.0,7.0,13.0
stack,27.0,38.0,65.0
staden,0.0,10.0,10.0
stadium,1.0,6.0,7.0
stadl,2.0,0.0,2.0
stadvec,0.0,1.0,1.0
staf,2.0,2.0,4.0
stafan,0.0,1.0,1.0
stag,2.0,3.0,5.0
stage,181.0,212.0,393.0
stagebound,1.0,1.0,2.0
stagecoach,1.0,4.0,5.0
stagefright,1.0,1.0,2.0
stagehand,1.0,0.0,1.0
stagestruck,0.0,2.0,2.0
stagey,11.0,7.0,18.0
stagger,57.0,52.0,109.0
stagi,12.0,8.0,20.0
stagiest,1.0,0.0,1.0
stagnant,12.0,9.0,21.0
stagnat,4.0,2.0,6.0
stahl,1.0,1.0,2.0
stai,0.0,1.0,1.0
staid,4.0,15.0,19.0
stain,19.0,20.0,39.0
stainless,1.0,0.0,1.0
stair,5.0,10.0,15.0
staircas,0.0,2.0,2.0
stairway,1.0,4.0,5.0
stairwel,0.0,2.0,2.0
staisfi,0.0,1.0,1.0
stake,7.0,8.0,15.0
stalag,2.0,0.0,2.0
stale,96.0,36.0,132.0
stalem,1.0,1.0,2.0
stalin,3.0,8.0,11.0
stalingrad,6.0,9.0,15.0
stalinist,0.0,1.0,1.0
stalk,137.0,95.0,232.0
stalker,4.0,2.0,6.0
stalki,1.0,0.0,1.0
stall,15.0,20.0,35.0
stallich,0.0,1.0,1.0
stallon,8.0,13.0,21.0
stalon,1.0,0.0,1.0
stalwart,15.0,22.0,37.0
stamina,1.0,0.0,1.0
stammer,9.0,5.0,14.0
stamp,24.0,14.0,38.0
stamped,4.0,5.0,9.0
stamper,2.0,0.0,2.0
stan,90.0,81.0,171.0
stand,1052.0,1201.0,2253.0
standa,0.0,1.0,1.0
standabl,1.0,0.0,1.0
standalon,0.0,3.0,3.0
standard,290.0,225.0,515.0
standbi,2.0,4.0,6.0
standish,0.0,1.0,1.0
standoff,0.0,3.0,3.0
standoffish,2.0,0.0,2.0
standout,10.0,32.0,42.0
standstil,3.0,2.0,5.0
standup,6.0,4.0,10.0
stane,1.0,0.0,1.0
stanford,1.0,0.0,1.0
stang,0.0,1.0,1.0
stanislav,1.0,1.0,2.0
stanislavski,1.0,0.0,1.0
stanislavskian,0.0,2.0,2.0
stanislawa,0.0,1.0,1.0
stanislofski,1.0,0.0,1.0
stank,10.0,2.0,12.0
stanley,24.0,61.0,85.0
stanojlo,0.0,1.0,1.0
stanton,1.0,1.0,2.0
stanwick,1.0,1.0,2.0
stanwyck,15.0,54.0,69.0
stanwyk,0.0,1.0,1.0
stanywck,0.0,1.0,1.0
stape,1.0,0.0,1.0
stapl,17.0,16.0,33.0
stapleton,1.0,1.0,2.0
star,1005.0,1130.0,2135.0
starbas,0.0,2.0,2.0
starboard,0.0,2.0,2.0
starbuck,5.0,4.0,9.0
starburst,0.0,1.0,1.0
starch,5.0,4.0,9.0
starchas,0.0,1.0,1.0
starchi,3.0,2.0,5.0
starchild,0.0,1.0,1.0
starck,0.0,1.0,1.0
starcrash,0.0,1.0,1.0
starcross,0.0,2.0,2.0
starcup,0.0,1.0,1.0
stardom,6.0,23.0,29.0
stardust,4.0,13.0,17.0
stare,202.0,90.0,292.0
starevich,0.0,2.0,2.0
starewicz,0.0,16.0,16.0
starfish,2.0,0.0,2.0
starfleet,2.0,4.0,6.0
starfuck,1.0,0.0,1.0
stargaard,0.0,1.0,1.0
stargat,4.0,17.0,21.0
stargaz,0.0,2.0,2.0
stargher,1.0,2.0,3.0
stark,41.0,122.0,163.0
starkest,0.0,2.0,2.0
starl,8.0,2.0,10.0
starla,1.0,0.0,1.0
starlet,2.0,4.0,6.0
starletta,1.0,0.0,1.0
starlift,2.0,0.0,2.0
starlight,3.0,0.0,3.0
starlina,2.0,0.0,2.0
starlit,0.0,1.0,1.0
starltl,0.0,1.0,1.0
starman,0.0,1.0,1.0
starr,4.0,0.0,4.0
starrer,1.0,0.0,1.0
starrett,2.0,1.0,3.0
starri,2.0,5.0,7.0
starship,9.0,1.0,10.0
starski,1.0,6.0,7.0
starstruck,3.0,0.0,3.0
start,3759.0,2785.0,6544.0
starter,0.0,2.0,2.0
startl,62.0,111.0,173.0
startup,1.0,0.0,1.0
starv,59.0,42.0,101.0
starz,6.0,1.0,7.0
stash,8.0,6.0,14.0
stasi,1.0,1.0,2.0
stat,2.0,2.0,4.0
state,241.0,236.0,477.0
staten,3.0,2.0,5.0
statesid,0.0,3.0,3.0
statesmen,0.0,1.0,1.0
statham,10.0,6.0,16.0
stathom,0.0,1.0,1.0
static,86.0,69.0,155.0
station,9.0,21.0,30.0
stationari,7.0,7.0,14.0
stationsmast,0.0,1.0,1.0
statist,8.0,9.0,17.0
statistician,1.0,0.0,1.0
statten,1.0,0.0,1.0
statu,7.0,6.0,13.0
statuari,0.0,2.0,2.0
statuesqu,4.0,5.0,9.0
statur,1.0,0.0,1.0
statutori,3.0,2.0,5.0
staunch,9.0,9.0,18.0
staunchest,2.0,1.0,3.0
stave,2.0,4.0,6.0
stavro,0.0,1.0,1.0
stay,1147.0,947.0,2094.0
stayer,1.0,0.0,1.0
std,2.0,1.0,3.0
stds,1.0,0.0,1.0
stdvd,1.0,0.0,1.0
ste,1.0,0.0,1.0
stead,1.0,1.0,2.0
steadfast,3.0,10.0,13.0
steadi,49.0,90.0,139.0
steadicam,3.0,3.0,6.0
steadican,0.0,1.0,1.0
steadier,2.0,0.0,2.0
steadili,15.0,26.0,41.0
steadman,1.0,0.0,1.0
steadycam,1.0,0.0,1.0
steak,4.0,1.0,5.0
steal,471.0,571.0,1042.0
stealer,1.0,0.0,1.0
stealin,0.0,1.0,1.0
steall,0.0,1.0,1.0
stealth,1.0,1.0,2.0
stealthi,3.0,1.0,4.0
stealthili,4.0,1.0,5.0
steam,67.0,11.0,78.0
steamboat,0.0,6.0,6.0
steamer,0.0,1.0,1.0
steami,23.0,38.0,61.0
steampunk,0.0,1.0,1.0
steamrol,3.0,1.0,4.0
steamship,0.0,2.0,2.0
stear,1.0,0.0,1.0
stearn,0.0,1.0,1.0
steart,1.0,0.0,1.0
steaua,2.0,0.0,2.0
steckert,0.0,3.0,3.0
steckler,0.0,1.0,1.0
stedi,1.0,0.0,1.0
stedicam,1.0,1.0,2.0
steeb,1.0,0.0,1.0
steed,1.0,2.0,3.0
steel,10.0,27.0,37.0
steeli,7.0,13.0,20.0
steelwork,1.0,0.0,1.0
steeman,0.0,1.0,1.0
steen,3.0,0.0,3.0
steenki,1.0,0.0,1.0
steep,22.0,18.0,40.0
steepest,0.0,2.0,2.0
steepli,0.0,1.0,1.0
steer,72.0,36.0,108.0
steersman,1.0,0.0,1.0
steev,1.0,1.0,2.0
stefan,7.0,12.0,19.0
stefani,4.0,0.0,4.0
stefania,0.0,1.0,1.0
stefaniuk,1.0,0.0,1.0
stefano,2.0,1.0,3.0
steffania,0.0,1.0,1.0
steffen,2.0,0.0,2.0
stegosaur,0.0,1.0,1.0
steiger,8.0,0.0,8.0
stein,1.0,4.0,5.0
steiner,2.0,0.0,2.0
steinitz,0.0,1.0,1.0
steinmann,0.0,2.0,2.0
steinmuhl,0.0,1.0,1.0
stell,1.0,1.0,2.0
stella,11.0,8.0,19.0
stellan,4.0,1.0,5.0
stellar,57.0,136.0,193.0
stellen,0.0,1.0,1.0
stelvio,1.0,2.0,3.0
stem,26.0,35.0,61.0
stench,2.0,0.0,2.0
stenchless,0.0,1.0,1.0
stenier,1.0,0.0,1.0
stenka,1.0,0.0,1.0
stenograph,0.0,1.0,1.0
stensvold,1.0,0.0,1.0
step,152.0,193.0,345.0
stepehn,2.0,0.0,2.0
stepfath,4.0,4.0,8.0
stepford,1.0,4.0,5.0
steph,1.0,3.0,4.0
stephan,7.0,5.0,12.0
stephani,21.0,17.0,38.0
stephanoi,0.0,1.0,1.0
stephen,98.0,104.0,202.0
stephenson,1.0,3.0,4.0
stepin,1.0,1.0,2.0
stepladd,1.0,0.0,1.0
stepmom,0.0,1.0,1.0
stepmoth,3.0,6.0,9.0
stepmum,0.0,1.0,1.0
stepper,0.0,1.0,1.0
steppin,0.0,1.0,1.0
stepsist,0.0,1.0,1.0
stepto,0.0,2.0,2.0
stereo,17.0,8.0,25.0
stereophon,0.0,3.0,3.0
stereotyp,433.0,196.0,629.0
steretyp,1.0,0.0,1.0
steril,35.0,15.0,50.0
steriopt,0.0,1.0,1.0
sterl,10.0,23.0,33.0
stern,26.0,47.0,73.0
sternberg,4.0,7.0,11.0
sternest,0.0,1.0,1.0
sternhagen,0.0,1.0,1.0
sternum,1.0,0.0,1.0
steroid,5.0,3.0,8.0
sterotyp,1.0,0.0,1.0
stet,1.0,0.0,1.0
steuerman,0.0,1.0,1.0
steve,290.0,297.0,587.0
steveday,1.0,0.0,1.0
steven,318.0,188.0,506.0
stevenson,1.0,3.0,4.0
stevi,5.0,3.0,8.0
stevo,1.0,0.0,1.0
stew,3.0,4.0,7.0
steward,6.0,3.0,9.0
stewardess,6.0,0.0,6.0
stewardship,0.0,1.0,1.0
stewart,61.0,271.0,332.0
stewert,0.0,1.0,1.0
stewi,1.0,4.0,5.0
sthetic,0.0,1.0,1.0
sti,2.0,5.0,7.0
stic,1.0,1.0,2.0
stich,2.0,0.0,2.0
stick,548.0,286.0,834.0
stickbal,1.0,0.0,1.0
sticker,0.0,1.0,1.0
sticki,20.0,18.0,38.0
stif,2.0,3.0,5.0
stiff,130.0,75.0,205.0
stiffen,2.0,0.0,2.0
stiffest,3.0,0.0,3.0
stiffli,4.0,1.0,5.0
stifl,16.0,18.0,34.0
stifler,1.0,1.0,2.0
stig,0.0,5.0,5.0
stigg,0.0,2.0,2.0
stigma,0.0,3.0,3.0
stigmat,0.0,2.0,2.0
stigmata,3.0,2.0,5.0
stike,1.0,0.0,1.0
stil,5.0,5.0,10.0
stile,1.0,1.0,2.0
stiletto,1.0,0.0,1.0
still,4329.0,6246.0,10575.0
stillborn,5.0,1.0,6.0
stillcouldn,0.0,1.0,1.0
stiller,4.0,5.0,9.0
stillman,1.0,0.0,1.0
stillmeadow,0.0,2.0,2.0
stilt,139.0,48.0,187.0
stimpi,1.0,3.0,4.0
stimul,37.0,77.0,114.0
stimuli,1.0,0.0,1.0
stine,1.0,0.0,1.0
sting,19.0,27.0,46.0
stinger,3.0,0.0,3.0
stingi,3.0,6.0,9.0
stingray,1.0,1.0,2.0
stingri,0.0,1.0,1.0
stink,146.0,22.0,168.0
stinkaroo,1.0,0.0,1.0
stinkbug,0.0,1.0,1.0
stinker,18.0,1.0,19.0
stinkeroo,1.0,0.0,1.0
stinkfest,1.0,0.0,1.0
stinki,13.0,1.0,14.0
stinkiest,1.0,0.0,1.0
stinkin,1.0,1.0,2.0
stint,0.0,4.0,4.0
stipul,2.0,5.0,7.0
stir,46.0,109.0,155.0
stirba,10.0,0.0,10.0
stirl,3.0,11.0,14.0
stirr,0.0,1.0,1.0
stirrup,1.0,0.0,1.0
stis,0.0,1.0,1.0
stitch,14.0,15.0,29.0
stitchin,0.0,1.0,1.0
stivaletti,1.0,0.0,1.0
stivic,1.0,0.0,1.0
stix,1.0,0.0,1.0
stkink,1.0,0.0,1.0
stm,2.0,0.0,2.0
sto,1.0,0.0,1.0
stock,11.0,10.0,21.0
stockad,0.0,2.0,2.0
stockard,1.0,0.0,1.0
stockhausen,0.0,1.0,1.0
stockholm,3.0,2.0,5.0
stocki,3.0,2.0,5.0
stocking,0.0,1.0,1.0
stockpil,2.0,0.0,2.0
stockton,1.0,0.0,1.0
stockwel,4.0,3.0,7.0
stoddard,3.0,0.0,3.0
stodgi,12.0,8.0,20.0
stoic,12.0,30.0,42.0
stoical,3.0,2.0,5.0
stoichast,1.0,0.0,1.0
stoke,6.0,4.0,10.0
stokowski,0.0,1.0,1.0
stole,89.0,117.0,206.0
stolen,200.0,161.0,361.0
stolid,7.0,12.0,19.0
stollen,0.0,1.0,1.0
stoller,1.0,0.0,1.0
stoltz,3.0,2.0,5.0
stolz,0.0,1.0,1.0
stomach,56.0,27.0,83.0
stomp,32.0,32.0,64.0
stomper,0.0,1.0,1.0
stomu,0.0,1.0,1.0
stone,94.0,52.0,146.0
stonechild,0.0,1.0,1.0
stonefac,1.0,0.0,1.0
stoneheng,0.0,2.0,2.0
stoneman,0.0,1.0,1.0
stoner,7.0,4.0,11.0
stonewal,3.0,2.0,5.0
stonewash,0.0,1.0,1.0
stoney,1.0,1.0,2.0
stoni,4.0,0.0,4.0
stoniest,0.0,2.0,2.0
stonk,0.0,1.0,1.0
stonni,0.0,1.0,1.0
stoo,1.0,0.0,1.0
stood,92.0,150.0,242.0
stoog,8.0,8.0,16.0
stool,2.0,1.0,3.0
stooli,0.0,4.0,4.0
stooooopid,1.0,0.0,1.0
stooopid,1.0,0.0,1.0
stoop,30.0,20.0,50.0
stoopid,4.0,2.0,6.0
stoopidest,0.0,1.0,1.0
stop,1506.0,1158.0,2664.0
stope,1.0,1.0,2.0
stoppabl,1.0,1.0,2.0
stopper,3.0,0.0,3.0
storaro,1.0,1.0,2.0
store,26.0,21.0,47.0
storefront,1.0,0.0,1.0
storekeep,0.0,1.0,1.0
storelin,1.0,0.0,1.0
storeroom,0.0,1.0,1.0
storey,1.0,0.0,1.0
stori,14.0,18.0,32.0
stork,0.0,2.0,2.0
storm,28.0,40.0,68.0
stormcatch,0.0,1.0,1.0
stormhold,0.0,2.0,2.0
stormi,3.0,6.0,9.0
stormish,0.0,1.0,1.0
stormtroop,1.0,1.0,2.0
storszek,1.0,0.0,1.0
storyboard,5.0,4.0,9.0
storybook,0.0,1.0,1.0
storylin,76.0,48.0,124.0
storytel,75.0,121.0,196.0
storyvill,1.0,1.0,2.0
storywis,3.0,2.0,5.0
storywrit,2.0,0.0,2.0
stother,0.0,1.0,1.0
stott,0.0,2.0,2.0
stous,1.0,0.0,1.0
stout,2.0,0.0,2.0
stoutest,0.0,1.0,1.0
stove,0.0,1.0,1.0
stow,6.0,11.0,17.0
stowaway,2.0,3.0,5.0
stp,0.0,1.0,1.0
stpid,1.0,0.0,1.0
str,2.0,8.0,10.0
stra,1.0,0.0,1.0
strachan,0.0,2.0,2.0
strada,1.0,1.0,2.0
straddl,10.0,7.0,17.0
stradl,1.0,0.0,1.0
strafe,5.0,1.0,6.0
strage,0.0,1.0,1.0
stragg,0.0,2.0,2.0
straggl,1.0,0.0,1.0
straig,0.0,1.0,1.0
straight,831.0,602.0,1433.0
straightaway,1.0,3.0,4.0
straightedg,0.0,2.0,2.0
straighten,9.0,19.0,28.0
straighter,1.0,2.0,3.0
straightfor,1.0,0.0,1.0
straightforward,33.0,77.0,110.0
straighthead,2.0,0.0,2.0
strain,92.0,45.0,137.0
strait,4.0,7.0,11.0
straiten,0.0,1.0,1.0
straitjacket,2.0,0.0,2.0
straitlac,1.0,1.0,2.0
strand,104.0,65.0,169.0
strang,953.0,1037.0,1990.0
strangeland,1.0,1.0,2.0
strangelov,7.0,9.0,16.0
stranger,23.0,40.0,63.0
strangest,29.0,33.0,62.0
strangl,43.0,40.0,83.0
stranglehold,1.0,0.0,1.0
strangler,0.0,1.0,1.0
strangul,1.0,1.0,2.0
strap,43.0,14.0,57.0
strapless,1.0,0.0,1.0
strappi,1.0,0.0,1.0
strasberg,1.0,0.0,1.0
strasbourg,1.0,0.0,1.0
strat,0.0,1.0,1.0
strateg,18.0,21.0,39.0
strategist,1.0,0.0,1.0
strathairn,1.0,2.0,3.0
stratham,0.0,1.0,1.0
stratifi,0.0,2.0,2.0
stratospher,3.0,3.0,6.0
stratovarius,0.0,1.0,1.0
stratten,11.0,2.0,13.0
stratton,1.0,4.0,5.0
straub,3.0,0.0,3.0
strauli,1.0,0.0,1.0
straum,0.0,1.0,1.0
straus,2.0,0.0,2.0
strauss,2.0,8.0,10.0
stravinski,1.0,2.0,3.0
straw,24.0,13.0,37.0
strawberri,3.0,3.0,6.0
stray,52.0,44.0,96.0
strayer,1.0,2.0,3.0
streak,9.0,10.0,19.0
streal,1.0,0.0,1.0
stream,19.0,12.0,31.0
streamlin,7.0,8.0,15.0
strech,0.0,1.0,1.0
streed,1.0,0.0,1.0
streep,21.0,62.0,83.0
street,19.0,29.0,48.0
streetfight,2.0,1.0,3.0
streetkid,0.0,1.0,1.0
streetwalk,1.0,0.0,1.0
streetwis,0.0,4.0,4.0
streisand,11.0,18.0,29.0
streisandi,1.0,0.0,1.0
strelzyk,0.0,1.0,1.0
streneous,1.0,0.0,1.0
strenghten,0.0,3.0,3.0
strength,2.0,14.0,16.0
strengthen,20.0,22.0,42.0
strenuous,3.0,4.0,7.0
strep,1.0,0.0,1.0
stress,87.0,83.0,170.0
stretch,218.0,112.0,330.0
stretcher,2.0,0.0,2.0
stretchi,1.0,0.0,1.0
strewn,5.0,5.0,10.0
stri,1.0,0.0,1.0
striba,1.0,0.0,1.0
stric,1.0,0.0,1.0
strick,0.0,2.0,2.0
stricken,22.0,26.0,48.0
strickland,0.0,3.0,3.0
strict,177.0,139.0,316.0
stricter,4.0,0.0,4.0
strictest,1.0,4.0,5.0
stride,8.0,21.0,29.0
strident,9.0,8.0,17.0
strife,1.0,1.0,2.0
stright,1.0,0.0,1.0
strike,189.0,360.0,549.0
striken,0.0,2.0,2.0
strindberg,0.0,2.0,2.0
string,69.0,49.0,118.0
stringent,0.0,6.0,6.0
stringfellow,0.0,2.0,2.0
stringi,0.0,2.0,2.0
strip,117.0,67.0,184.0
stripclub,1.0,0.0,1.0
stripe,11.0,6.0,17.0
striper,0.0,1.0,1.0
stripless,1.0,0.0,1.0
strippah,0.0,1.0,1.0
stripper,12.0,6.0,18.0
stripperella,0.0,5.0,5.0
stripteas,3.0,5.0,8.0
strive,51.0,55.0,106.0
striven,1.0,0.0,1.0
strobe,5.0,1.0,6.0
stroboscop,1.0,0.0,1.0
strode,1.0,4.0,5.0
stroessner,0.0,1.0,1.0
stroheim,1.0,2.0,3.0
stroke,25.0,16.0,41.0
stroker,3.0,0.0,3.0
stroki,1.0,0.0,1.0
stroll,18.0,14.0,32.0
strom,1.0,0.0,1.0
stromboli,2.0,0.0,2.0
strong,728.0,1766.0,2494.0
strongbear,0.0,1.0,1.0
stronger,83.0,141.0,224.0
strongest,48.0,95.0,143.0
stronghold,2.0,2.0,4.0
stroppi,1.0,0.0,1.0
stros,0.0,1.0,1.0
strother,1.0,7.0,8.0
stroud,3.0,5.0,8.0
strove,3.0,2.0,5.0
struck,104.0,162.0,266.0
structur,42.0,75.0,117.0
strudel,1.0,0.0,1.0
struggl,344.0,392.0,736.0
strum,4.0,3.0,7.0
strummer,2.0,0.0,2.0
strumpet,0.0,1.0,1.0
strung,43.0,25.0,68.0
strunzdumm,0.0,1.0,1.0
strut,30.0,25.0,55.0
struther,1.0,0.0,1.0
struycken,2.0,0.0,2.0
stryker,1.0,1.0,2.0
stu,7.0,5.0,12.0
stuart,30.0,51.0,81.0
stub,4.0,3.0,7.0
stubb,1.0,1.0,2.0
stubbi,0.0,6.0,6.0
stubbl,5.0,0.0,5.0
stubborn,20.0,43.0,63.0
stubli,0.0,1.0,1.0
stuc,1.0,0.0,1.0
stucco,2.0,0.0,2.0
stuck,355.0,253.0,608.0
stud,27.0,32.0,59.0
student,12.0,9.0,21.0
studi,180.0,219.0,399.0
studio,5.0,9.0,14.0
studious,1.0,3.0,4.0
studliest,1.0,0.0,1.0
studmuffin,0.0,1.0,1.0
stuey,2.0,2.0,4.0
stuf,60.0,38.0,98.0
stuff,118.0,85.0,203.0
stuffi,10.0,17.0,27.0
stultifi,6.0,5.0,11.0
stumbl,196.0,206.0,402.0
stumbler,1.0,0.0,1.0
stump,5.0,8.0,13.0
stun,270.0,753.0,1023.0
stunden,0.0,1.0,1.0
stune,3.0,0.0,3.0
stung,6.0,3.0,9.0
stunk,32.0,2.0,34.0
stunner,0.0,3.0,3.0
stunt,35.0,18.0,53.0
stuntman,9.0,3.0,12.0
stuntwoman,0.0,2.0,2.0
stuntwork,0.0,1.0,1.0
stuoz,0.0,1.0,1.0
stupa,1.0,0.0,1.0
stupedn,0.0,1.0,1.0
stupefi,19.0,4.0,23.0
stupend,10.0,22.0,32.0
stupid,2955.0,551.0,3506.0
stupidest,71.0,10.0,81.0
stupidhead,1.0,0.0,1.0
stupidifi,0.0,1.0,1.0
stupidili,1.0,0.0,1.0
stupifi,2.0,1.0,3.0
stupor,4.0,1.0,5.0
sturdi,10.0,17.0,27.0
sturg,3.0,5.0,8.0
sturgeon,1.0,1.0,2.0
sturgi,0.0,2.0,2.0
sturridg,0.0,2.0,2.0
stutter,19.0,12.0,31.0
stuttgart,1.0,1.0,2.0
stuttur,1.0,0.0,1.0
